binomial,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
Mus spicilegus,828198.670198143,14,LC,Herbivore,RODENTIA
Mus spretus,963684.139651811,16.67,LC,Omnivore,RODENTIA
Mus tenellus,491701.509700061,10.2,LC,Omnivore,RODENTIA
Mus terricolor,2890495.28219535,9,LC,Omnivore,RODENTIA
Mus triton,1251170.50860614,12.62,LC,Omnivore,RODENTIA
Mus vulcani,184.939161642123,20.2,LC,Omnivore,RODENTIA
Muscardinus avellanarius,3613069.6627635,29.19,LC,Omnivore,RODENTIA
Musonycteris harrisoni,54476.9662272732,22.96761263,VU,Omnivore,CHIROPTERA
Mustela africana,5209784.97293729,536.98,LC,Carnivore,CARNIVORA
Mustela altaica,5661271.7369819,180.24,NT,Carnivore,CARNIVORA
Mustela erminea,41217691.9188737,284.5,LC,Carnivore,CARNIVORA
Mustela eversmanii,13299480.1430362,1684.21,LC,Carnivore,CARNIVORA
Mustela felipei,57459.898351403,211.3,VU,Carnivore,CARNIVORA
Mustela frenata,12272750.4672847,190.03,LC,Carnivore,CARNIVORA
Mustela itatsi,283546.730344284,300,NT,Carnivore,CARNIVORA
Mustela kathiah,2773383.83161165,263.74,LC,Carnivore,CARNIVORA
Mustela lutreola,73609.5978865026,566.44,CR,Carnivore,CARNIVORA
Mustela lutreolina,84498.7294474289,466.25,LC,Carnivore,CARNIVORA
Mustela nivalis,43166855.5313241,78.45,LC,Carnivore,CARNIVORA
Mustela nudipes,1346098.66833043,569.42,LC,Carnivore,CARNIVORA
Mustela putorius,6011050.26696596,975.55,LC,Carnivore,CARNIVORA
Mustela sibirica,13176696.4848121,530.85,LC,Carnivore,CARNIVORA
Mustela strigidorsa,1377916.36367152,1500,LC,Carnivore,CARNIVORA
Mustela subpalmata,44121.1962800791,77.25,LC,Carnivore,CARNIVORA
Mydaus javanensis,105559.279032185,2500,LC,Insectivore,CARNIVORA
Mydaus marchei,12447.238791291,2500,LC,Insectivore,CARNIVORA
Mylomys dybowskii,1279786.99624384,110.96,LC,Herbivore,RODENTIA
Mylomys rex,314.30322188335,110.96,DD,Herbivore,RODENTIA
Myocastor coypus,3902051.50276732,6361.55,LC,Herbivore,RODENTIA
Myodes andersoni,71603.4551234827,46.25861204,LC,Omnivore,RODENTIA
Myodes californicus,200390.004932653,18.3,LC,Omnivore,RODENTIA
Myodes centralis,182570.354009588,31.80166851,LC,Herbivore,RODENTIA
Myodes gapperi,8370648.97053975,19.83,LC,Omnivore,RODENTIA
Myodes glareolus,8679130.4700289,20.73,LC,Omnivore,RODENTIA
Myodes regulus,149439.301034476,46.25861204,LC,Omnivore,RODENTIA
Myodes rex,58397.4932039739,46.25861204,LC,Omnivore,RODENTIA
Myodes rufocanus,13113658.5243827,36.43,LC,Herbivore,RODENTIA
Myodes rutilus,18530201.5984056,19.94,LC,Herbivore,RODENTIA
Myodes shanseius,285761.532959897,46.25861204,LC,Herbivore,RODENTIA
Myodes smithii,118619.049925781,34.94,LC,Omnivore,RODENTIA
Myoictis leucura,408.993026306699,210.885,DD,Carnivore,DASYUROMORPHIA
Myoictis melas,398695.852307522,221.77,LC,Carnivore,DASYUROMORPHIA
Myoictis wallacei,56148.7963199149,200,LC,Carnivore,DASYUROMORPHIA
Myoictis wavicus,108.733154099618,210.885,DD,Carnivore,DASYUROMORPHIA
Myomimus personatus,99170.7202624151,44,DD,Insectivore,RODENTIA
Myomimus roachi,20409.0497516182,44,VU,Herbivore,RODENTIA
Myomimus setzeri,161968.078427975,44,DD,Omnivore,RODENTIA
Myomyscus angolensis,275633.493266723,63.85388804,LC,Omnivore,RODENTIA
Myomyscus brockmani,1713266.93151974,28,LC,Omnivore,RODENTIA
Myomyscus verreauxii,97856.3624605327,41,LC,Insectivore,RODENTIA
Myomyscus yemeni,77356.3704457164,25,LC,Herbivore,RODENTIA
Myonycteris brachycephala,690.851753903914,49.12,EN,Herbivore,CHIROPTERA
Myonycteris relicta,142204.808346568,53.32,LC,Herbivore,CHIROPTERA
Myonycteris torquata,3651482.59631818,44.92,LC,Herbivore,CHIROPTERA
Myoprocta acouchy,993244.796007394,954.87,LC,Herbivore,RODENTIA
Myoprocta pratti,2337165.23518941,966.73,LC,Herbivore,RODENTIA
Myopterus daubentonii,1600169.7210361,11.55,DD,Insectivore,CHIROPTERA
Myopterus whitleyi,1914283.10457461,11.55,LC,Insectivore,CHIROPTERA
Myopus schisticolor,10209771.3262927,29.99,LC,Herbivore,RODENTIA
Myosciurus pumilio,346127.667831638,16.44,LC,Herbivore,RODENTIA
Myosorex babaulti,24423.8939507102,9.130309224,NT,Carnivore,EULIPOTYPHLA
Myosorex blarina,2272.00601882698,16,EN,Carnivore,EULIPOTYPHLA
Myosorex cafer,167610.650715179,12.3,LC,Carnivore,EULIPOTYPHLA
Myosorex eisentrauti,49.4068560247987,8.157340556,CR,Carnivore,EULIPOTYPHLA
Myosorex geata,463.330522378049,9.34,EN,Carnivore,EULIPOTYPHLA
Myosorex kihaulei,1615.62612481462,11.18979112,EN,Carnivore,EULIPOTYPHLA
Myosorex longicaudatus,7729.01408976015,12.98,VU,Carnivore,EULIPOTYPHLA
Myosorex okuensis,4126.8012558017,8.157340556,VU,Carnivore,EULIPOTYPHLA
Myosorex rumpii,254.12981889961,15.99558029,EN,Carnivore,EULIPOTYPHLA
Myosorex schalleri,98.902221819642,11.18979112,DD,Carnivore,EULIPOTYPHLA
Myosorex sclateri,20830.844577298,8.157340556,NT,Carnivore,EULIPOTYPHLA
Myosorex tenuis,2045.78938119401,11.18979112,DD,Carnivore,EULIPOTYPHLA
Myosorex varius,424218.627229004,11.68,LC,Carnivore,EULIPOTYPHLA
Myosorex zinki,1169.68142258562,11.18979112,LC,Carnivore,EULIPOTYPHLA
Myospalax aspalax,674666.397975404,345.5,LC,Herbivore,RODENTIA
Myospalax myospalax,321742.063825441,225,LC,Herbivore,RODENTIA
Myospalax psilurus,3135228.9178205,259.21,LC,Herbivore,RODENTIA
Myotis adversus,242650.305428733,10.41,LC,Insectivore,CHIROPTERA
Myotis aelleni,483.399239261846,9.597169811,DD,Insectivore,CHIROPTERA
Myotis albescens,14595013.0056817,5.69,LC,Insectivore,CHIROPTERA
Myotis alcathoe,513033.946604633,9.597169811,DD,Insectivore,CHIROPTERA
Myotis altarium,1575127.09924216,11,LC,Insectivore,CHIROPTERA
Myotis anjouanensis,426.262312784735,9.597169811,DD,Insectivore,CHIROPTERA
Myotis annamiticus,109.804595848167,9.597169811,DD,Insectivore,CHIROPTERA
Myotis annectans,244314.230532902,9.75,LC,Insectivore,CHIROPTERA
Myotis atacamensis,253619.983228975,9.597169811,EN,Insectivore,CHIROPTERA
Myotis ater,114452.67927857,9.597169811,LC,Insectivore,CHIROPTERA
Myotis aurascens,2607614.5930617,9.597169811,LC,Insectivore,CHIROPTERA
Myotis auriculus,617494.369282547,38.04,LC,Insectivore,CHIROPTERA
Myotis austroriparius,832901.781706172,7.35,LC,Insectivore,CHIROPTERA
Myotis bechsteinii,2651754.46114033,9.47,NT,Insectivore,CHIROPTERA
Myotis blythii,6188264.48408854,23.82,LC,Insectivore,CHIROPTERA
Myotis bocagii,1819165.94796889,7.93,LC,Insectivore,CHIROPTERA
Myotis bombinus,1653525.75111904,9.597169811,NT,Insectivore,CHIROPTERA
Myotis brandtii,7663628.09572306,5.3,LC,Insectivore,CHIROPTERA
Myotis bucharensis,205745.286761684,9.597169811,DD,Insectivore,CHIROPTERA
Myotis californicus,3985022.29894475,4.39,LC,Insectivore,CHIROPTERA
Myotis capaccinii,1229047.57053989,8.15,VU,Insectivore,CHIROPTERA
Myotis chiloensis,502327.682058892,9.597169811,LC,Insectivore,CHIROPTERA
Myotis chinensis,2263217.89440497,41.99,LC,Insectivore,CHIROPTERA
Myotis ciliolabrum,1388274.92784096,4.89,LC,Insectivore,CHIROPTERA
Myotis cobanensis,206.497725009103,9.597169811,DD,Insectivore,CHIROPTERA
Myotis csorbai,33435.1439716808,9.597169811,DD,Insectivore,CHIROPTERA
Myotis dasycneme,5448884.7711889,15.16,NT,Insectivore,CHIROPTERA
Myotis daubentonii,14654913.0624326,7.63,LC,Insectivore,CHIROPTERA
Myotis davidii,95963.1067607019,9.597169811,LC,Insectivore,CHIROPTERA
Myotis dieteri,311.910309014025,9.597169811,DD,Insectivore,CHIROPTERA
Myotis dinellii,1666009.43060407,9.597169811,LC,Insectivore,CHIROPTERA
Myotis dominicensis,2234.99264008365,9.597169811,VU,Insectivore,CHIROPTERA
Myotis elegans,587280.011700538,4.21,LC,Insectivore,CHIROPTERA
Myotis emarginatus,4646864.33489468,7.56,LC,Insectivore,CHIROPTERA
Myotis evotis,3163297.00310188,6.91,LC,Insectivore,CHIROPTERA
Myotis fimbriatus,272135.047441949,9.597169811,LC,Insectivore,CHIROPTERA
Myotis findleyi,396.768088732081,9.597169811,EN,Insectivore,CHIROPTERA
Myotis formosus,2063245.62187794,7.07,LC,Insectivore,CHIROPTERA
Myotis fortidens,474091.812026258,4.37,LC,Insectivore,CHIROPTERA
Myotis frater,1329612.35312223,7.54,DD,Insectivore,CHIROPTERA
Myotis gomantongensis,732494.238309439,9.597169811,LC,Insectivore,CHIROPTERA
Myotis goudoti,504561.369976241,5.56,LC,Insectivore,CHIROPTERA
Myotis grisescens,853015.925472626,10.84,NT,Insectivore,CHIROPTERA
Myotis hajastanicus,826.292454620358,9.597169811,CR,Insectivore,CHIROPTERA
Myotis hasseltii,947143.162393027,8.7,LC,Insectivore,CHIROPTERA
Myotis hermani,3188.65881953261,9.597169811,DD,Insectivore,CHIROPTERA
Myotis horsfieldii,2562280.05910088,6.05,LC,Insectivore,CHIROPTERA
Myotis ikonnikovi,1524332.73422405,9.597169811,LC,Insectivore,CHIROPTERA
Myotis keaysi,2736294.00508684,5.45,LC,Insectivore,CHIROPTERA
Myotis keenii,109436.680990048,6.51,LC,Insectivore,CHIROPTERA
Myotis laniger,2138590.35024418,9.597169811,LC,Insectivore,CHIROPTERA
Myotis leibii,1423165.26427942,5.22,LC,Insectivore,CHIROPTERA
Myotis levis,1393858.7073165,5.49,LC,Insectivore,CHIROPTERA
Myotis longipes,61481.7640044944,9.597169811,DD,Insectivore,CHIROPTERA
Myotis lucifugus,12040881.9053176,7.8,LC,Insectivore,CHIROPTERA
Myotis macrodactylus,682552.489508826,7.48,LC,Insectivore,CHIROPTERA
Myotis macropus,1326845.74726506,9.597169811,LC,Insectivore,CHIROPTERA
Myotis macrotarsus,281869.336797899,12.64,NT,Insectivore,CHIROPTERA
Myotis martiniquensis,3812.79301129636,9.597169811,NT,Insectivore,CHIROPTERA
Myotis melanorhinus,3263845.59774034,9.597169811,LC,Insectivore,CHIROPTERA
Myotis moluccarum,825396.207464579,9.597169811,LC,Insectivore,CHIROPTERA
Myotis montivagus,766719.774679073,8.3,LC,Insectivore,CHIROPTERA
Myotis morrisi,616.536416488494,9.597169811,DD,Insectivore,CHIROPTERA
Myotis muricola,4641733.70719171,4.8,LC,Insectivore,CHIROPTERA
Myotis myotis,3874574.89149238,25.59,LC,Insectivore,CHIROPTERA
Myotis mystacinus,4946557.44419242,9.597169811,LC,Insectivore,CHIROPTERA
Myotis nattereri,5866044.43086818,7.25,LC,Insectivore,CHIROPTERA
Myotis nesopolus,54642.1052190415,3.56,LC,Insectivore,CHIROPTERA
Myotis nigricans,14380226.7083494,9.597169811,LC,Insectivore,CHIROPTERA
Myotis nipalensis,4946033.20202126,9.597169811,LC,Insectivore,CHIROPTERA
Myotis occultus,996794.931309651,8.79,LC,Insectivore,CHIROPTERA
Myotis oreias,553.45028877166,9.597169811,DD,Insectivore,CHIROPTERA
Myotis oxyotus,2601562.7914441,5.65,LC,Insectivore,CHIROPTERA
Myotis peninsularis,3012.54599772064,9.597169811,EN,Insectivore,CHIROPTERA
Myotis pequinius,561890.714250981,9.597169811,LC,Insectivore,CHIROPTERA
Myotis pilosus,987178.166515594,9.597169811,NT,Insectivore,CHIROPTERA
Myotis planiceps,12295.1770420058,9.597169811,EN,Insectivore,CHIROPTERA
Myotis pruinosus,2083.92810202791,9.597169811,EN,Insectivore,CHIROPTERA
Myotis punicus,653785.435377623,9.597169811,DD,Insectivore,CHIROPTERA
Myotis ridleyi,864276.584241428,4.06,NT,Insectivore,CHIROPTERA
Myotis riparius,14110136.6610597,4.57,LC,Insectivore,CHIROPTERA
Myotis rosseti,467848.387143917,3.29,LC,Insectivore,CHIROPTERA
Myotis ruber,1795771.16574405,4.99,NT,Insectivore,CHIROPTERA
Myotis rufopictus,45568.0715087479,9.597169811,DD,Insectivore,CHIROPTERA
Myotis schaubi,119111.398732981,9.597169811,DD,Insectivore,CHIROPTERA
Myotis scotti,185916.871739582,9.597169811,VU,Insectivore,CHIROPTERA
Myotis septentrionalis,4946390.39478802,9.597169811,LC,Insectivore,CHIROPTERA
Myotis sicarius,69838.2357883693,9.597169811,VU,Insectivore,CHIROPTERA
Myotis siligorensis,1309769.25436058,2.93,LC,Insectivore,CHIROPTERA
Myotis simus,2001040.72222881,9.597169811,DD,Insectivore,CHIROPTERA
Myotis sodalis,1564971.58096088,7.15,NT,Insectivore,CHIROPTERA
Myotis stalkeri,4156.52600996782,9.597169811,DD,Insectivore,CHIROPTERA
Myotis thysanodes,3472250.62094715,8.49,LC,Insectivore,CHIROPTERA
Myotis tricolor,4005107.5328822,13.67,LC,Insectivore,CHIROPTERA
Myotis velifer,1953954.93136424,9.82,LC,Insectivore,CHIROPTERA
Myotis vivesi,6940.56395175595,25.63,VU,Insectivore,CHIROPTERA
Myotis volans,4711968.98055135,8.71,LC,Insectivore,CHIROPTERA
Myotis welwitschii,4311658.49468362,15.88,LC,Insectivore,CHIROPTERA
Myotis yanbarensis,31.5672015888073,9.597169811,CR,Insectivore,CHIROPTERA
Myotis yumanensis,4063522.23368011,5.15,LC,Insectivore,CHIROPTERA
Myrmecobius fasciatus,1128.01036910752,511.44,EN,Insectivore,DASYUROMORPHIA
Myrmecophaga tridactyla,12011643.0035024,29531.83,VU,Insectivore,PILOSA
Mysateles melanurus,31192.6160849371,1426.0712,VU,Omnivore,RODENTIA
Mysateles prehensilis,106633.596494654,1650,NT,Herbivore,RODENTIA
Mystacina tuberculata,12604.6894329763,13.14,VU,Omnivore,CHIROPTERA
Mystromys albicaudatus,501157.526818493,86.85,EN,Omnivore,RODENTIA
Myzopoda aurita,107290.249959933,9.1,LC,Insectivore,CHIROPTERA
Myzopoda schliemanni,36338.9856378039,9.1,LC,Insectivore,CHIROPTERA
Naemorhedus baileyi,238553.698837281,28863.45,VU,Herbivore,CETARTIODACTYLA
Naemorhedus caudatus,170979.292022269,26999.99,VU,Herbivore,CETARTIODACTYLA
Naemorhedus goral,250558.813324096,28796.51,NT,Herbivore,CETARTIODACTYLA
Naemorhedus griseus,2399909.63857357,32000,VU,Herbivore,CETARTIODACTYLA
Nandinia binotata,6021747.81659042,2167.2,LC,Omnivore,CARNIVORA
Nanger dama,204791.993367749,71424.81,CR,Herbivore,CETARTIODACTYLA
Nanger granti,785168.594326328,55464.46,LC,Herbivore,CETARTIODACTYLA
Nanger soemmerringii,290635.22042267,41582.93,VU,Herbivore,CETARTIODACTYLA
Nannosciurus melanotis,1074970.76158272,50,LC,Herbivore,RODENTIA
Nanonycteris veldkampii,1711429.98919291,21.89,LC,Herbivore,CHIROPTERA
Napaeozapus insignis,2010052.05549377,22.25,LC,Omnivore,RODENTIA
Nasalis larvatus,538836.3918306,12265.65,EN,Herbivore,PRIMATES
Nasua narica,2698806.82605452,4578.43,LC,Omnivore,CARNIVORA
Nasua nasua,10629384.4280328,3775.5,LC,Omnivore,CARNIVORA
Nasuella olivacea,247827.616176038,1339.99,NT,Omnivore,CARNIVORA
Natalus espiritosantensis,2483320.53477153,5.99,NT,Insectivore,CHIROPTERA
Natalus jamaicensis,11024.6704837968,5.99,CR,Insectivore,CHIROPTERA
Natalus major,74327.9443880546,5.99,NT,Insectivore,CHIROPTERA
Natalus mexicanus,2433276.00888066,5.99,LC,Insectivore,CHIROPTERA
Natalus primus,887.990404964787,5.99,VU,Insectivore,CHIROPTERA
Natalus stramineus,4059.92015499682,5.68,LC,Insectivore,CHIROPTERA
Natalus tumidirostris,1390815.56997493,6.3,LC,Insectivore,CHIROPTERA
Neacomys dubosti,221433.025804675,17.95666667,LC,Omnivore,RODENTIA
Neacomys guianae,289438.839070446,15.87,LC,Omnivore,RODENTIA
Neacomys minutus,183731.317106493,17.95666667,LC,Omnivore,RODENTIA
Neacomys musseri,140347.467424533,17.95666667,LC,Omnivore,RODENTIA
Neacomys paracou,955497.007605329,17.95666667,LC,Omnivore,RODENTIA
Neacomys pictus,484.139918016203,17.95666667,DD,Omnivore,RODENTIA
Neacomys spinosus,3102258.02686538,19,LC,Omnivore,RODENTIA
Neacomys tenuipes,224158.534097107,19,LC,Omnivore,RODENTIA
Neamblysomus gunningi,9720.52479836741,61.185,EN,Insectivore,AFROSORICIDA
Neamblysomus julianae,11984.2144827466,21.99,EN,Insectivore,AFROSORICIDA
Necromys amoenus,164451.097896913,27.09,LC,Omnivore,RODENTIA
Necromys benefactus,386564.063966547,31,LC,Omnivore,RODENTIA
Necromys lactens,163777.50681178,32.9,LC,Omnivore,RODENTIA
Necromys lasiurus,5616546.96205299,39.93,LC,Omnivore,RODENTIA
Necromys lenguarum,592293.393792639,40.31,LC,Omnivore,RODENTIA
Necromys obscurus,31830.2161052818,40.69,NT,Omnivore,RODENTIA
Necromys punctulatus,77905.3623039139,37.3,DD,Omnivore,RODENTIA
Necromys temchuki,104148.489082268,47.2,LC,Omnivore,RODENTIA
Necromys urichi,339590.636017987,44.84,LC,Herbivore,RODENTIA
Nectogale elegans,555411.867194004,38.82,LC,Insectivore,EULIPOTYPHLA
Nectomys apicalis,1079024.78476987,46.25861204,LC,Omnivore,RODENTIA
Nectomys palmipes,165524.73983883,59.82092491,LC,Omnivore,RODENTIA
Nectomys rattus,7115323.82472466,248.8,LC,Herbivore,RODENTIA
Nectomys squamipes,2344287.56679027,184.98,LC,Insectivore,RODENTIA
Nelsonia goldmani,2039.57236509815,50,EN,Herbivore,RODENTIA
Nelsonia neotomodon,24594.317425455,80,NT,Herbivore,RODENTIA
Neodon forresti,8416.93966340548,43.09423936,DD,Herbivore,RODENTIA
Neodon irene,635022.111203379,46.25861204,LC,Herbivore,RODENTIA
Neodon juldaschi,311957.621963789,37.76509979,LC,Herbivore,RODENTIA
Neodon sikimensis,159982.372786389,45.25900624,LC,Herbivore,RODENTIA
Neofelis diardi,510006.384690234,22500,VU,Carnivore,CARNIVORA
Neofelis nebulosa,1902159.79796239,14945.05,VU,Carnivore,CARNIVORA
Neofiber alleni,119935.195619273,265.38,LC,Herbivore,RODENTIA
Neohylomys hainanensis,4593.31014732895,52.21,EN,Omnivore,EULIPOTYPHLA
Neomys anomalus,3282589.30907598,13.19,LC,Insectivore,EULIPOTYPHLA
Neomys fodiens,13089593.8655024,15.26,LC,Insectivore,EULIPOTYPHLA
Neomys teres,252150.272550169,12.854,LC,Insectivore,EULIPOTYPHLA
Neonycteris pusilla,9047.87122066958,22.96761263,DD,Omnivore,CHIROPTERA
Neophascogale lorentzii,120447.179578342,212,LC,Insectivore,DASYUROMORPHIA
Neopteryx frosti,6744.00105839847,239.6283091,EN,Herbivore,CHIROPTERA
Neotetracus sinensis,252081.703274609,49.99,LC,Omnivore,EULIPOTYPHLA
Neotoma albigula,834342.107936341,208.18,LC,Herbivore,RODENTIA
Neotoma angustapalata,3326.8317373739,198,EN,Herbivore,RODENTIA
Neotoma bryanti,271440.285325748,182,LC,Herbivore,RODENTIA
Neotoma chrysomelas,30203.5968933175,68.73202892,LC,Herbivore,RODENTIA
Neotoma cinerea,3608407.83024666,285.89,LC,Herbivore,RODENTIA
Neotoma devia,73683.6083827466,200,LC,Herbivore,RODENTIA
Neotoma floridana,1871086.89754122,249.16,LC,Herbivore,RODENTIA
Neotoma fuscipes,171574.867049032,213.26,LC,Herbivore,RODENTIA
Neotoma goldmani,170757.259429445,198,LC,Herbivore,RODENTIA
Neotoma lepida,675863.647348041,143.88,LC,Herbivore,RODENTIA
Neotoma leucodon,1076950.80221391,215,LC,Herbivore,RODENTIA
Neotoma macrotis,160394.344734841,225.74,LC,Herbivore,RODENTIA
Neotoma magister,313436.474901586,447,NT,Herbivore,RODENTIA
Neotoma mexicana,1784429.13788092,203,LC,Herbivore,RODENTIA
Neotoma micropus,1063795.71361018,255.14,LC,Herbivore,RODENTIA
Neotoma nelsoni,45.8278121698591,198,CR,Herbivore,RODENTIA
Neotoma palatina,16059.9806054749,198,VU,Herbivore,RODENTIA
Neotoma phenax,42633.375134927,227.49,NT,Herbivore,RODENTIA
Neotoma stephensi,226739.185237888,149.22,LC,Herbivore,RODENTIA
Neotomodon alstoni,27485.603594408,44.64,LC,Omnivore,RODENTIA
Neotomys ebriosus,688578.676857612,64.5,LC,Herbivore,RODENTIA
Neotragus batesi,802403.340648131,2967.45,LC,Herbivore,CETARTIODACTYLA
Neotragus pygmaeus,443521.673009673,3913.68,LC,Herbivore,CETARTIODACTYLA
Neovison vison,14573784.186454,1100,LC,Carnivore,CARNIVORA
Nephelomys albigularis,398224.706337961,61.9,LC,Omnivore,RODENTIA
Nephelomys auriventer,14415.6350172674,60.5005,LC,Omnivore,RODENTIA
Nephelomys caracolus,4076.96784254454,60.5,LC,Omnivore,RODENTIA
Nephelomys devius,9590.99768331372,46.25861204,LC,Herbivore,RODENTIA
Nephelomys keaysi,67023.1969267794,58.295,LC,Omnivore,RODENTIA
Nephelomys levipes,157127.895791752,60.5005,LC,Omnivore,RODENTIA
Nephelomys meridensis,14351.0821074237,46.25861204,LC,Omnivore,RODENTIA
Nesokia bunnii,41877.2347355179,63.85388804,EN,Herbivore,RODENTIA
Nesokia indica,3594582.01112817,178.08,LC,Herbivore,RODENTIA
Nesolagus netscheri,14526.0351007282,1511.67,VU,Herbivore,LAGOMORPHA
Nesolagus timminsi,24821.8304301093,1511.67,DD,Herbivore,LAGOMORPHA
Nesomys audeberti,90723.0757360455,214.04,LC,Omnivore,RODENTIA
Nesomys lambertoni,2220.49421003,155,EN,Omnivore,RODENTIA
Nesomys rufus,106783.166148265,163.96,LC,Omnivore,RODENTIA
Nesoromys ceramicus,443.241013983783,63.85388804,EN,Omnivore,RODENTIA
Nesoryzomys fernandinae,637.068720395422,32.3,VU,Omnivore,RODENTIA
Nesoryzomys narboroughi,637.068720395422,68.65,VU,Omnivore,RODENTIA
Nesoryzomys swarthi,573.597457376185,105,VU,Omnivore,RODENTIA
Nesotragus moschatus,1370656.72786215,6499,LC,Herbivore,CETARTIODACTYLA
Neurotrichus gibbsii,221364.52224678,9.56,LC,Omnivore,EULIPOTYPHLA
Neusticomys ferreirai,683.194415292383,42.72,DD,Insectivore,RODENTIA
Neusticomys monticolus,65828.2705753009,39.5,LC,Insectivore,RODENTIA
Neusticomys mussoi,19038.6673482193,40,EN,Insectivore,RODENTIA
Neusticomys oyapocki,70806.7786275376,47,DD,Insectivore,RODENTIA
Neusticomys peruviensis,14428.8788816531,40,LC,Insectivore,RODENTIA
Neusticomys venezuelae,665777.629044968,47.1,VU,Insectivore,RODENTIA
Nilgiritragus hylocrius,2096.83664458416,75000,EN,Herbivore,CETARTIODACTYLA
Ningaui ridei,2252468.86436619,9.42,LC,Omnivore,DASYUROMORPHIA
Ningaui timealeyi,250377.148348372,6.37,LC,Omnivore,DASYUROMORPHIA
Ningaui yvonneae,308584.02646474,11,LC,Insectivore,DASYUROMORPHIA
Niviventer andersoni,188299.343518518,147,LC,Omnivore,RODENTIA
Niviventer brahma,32329.1957253334,97.3,LC,Omnivore,RODENTIA
Niviventer cameroni,9974.68036668446,89,VU,Omnivore,RODENTIA
Niviventer confucianus,3971381.00709705,65,LC,Omnivore,RODENTIA
Niviventer coninga,28365.6880256242,80.65,LC,Omnivore,RODENTIA
Niviventer cremoriventer,1248372.60057034,71.54,LC,Omnivore,RODENTIA
Niviventer culturatus,3736.75703038065,81.17,LC,Omnivore,RODENTIA
Niviventer eha,183562.364311874,53.6,LC,Omnivore,RODENTIA
Niviventer excelsior,150624.336817989,102,LC,Omnivore,RODENTIA
Niviventer fraternus,111954.4340014,89,LC,Omnivore,RODENTIA
Niviventer fulvescens,4720378.41924532,81.79,LC,Omnivore,RODENTIA
Niviventer hinpoon,2929.08465265534,87.21125,EN,Omnivore,RODENTIA
Niviventer langbianis,632381.326769991,69.8,LC,Omnivore,RODENTIA
Niviventer lepturus,7576.82109534795,84.8,LC,Omnivore,RODENTIA
Niviventer niviventer,252993.530551065,100,LC,Omnivore,RODENTIA
Niviventer rapit,250763.403288943,79.73,LC,Omnivore,RODENTIA
Niviventer tenaster,266057.264325918,103,LC,Omnivore,RODENTIA
Noctilio albiventris,12855674.662238,31.46,LC,Insectivore,CHIROPTERA
Noctilio leporinus,14625648.1757968,29.93,LC,Insectivore,CHIROPTERA
Nomascus concolor,26325.6011742121,6410.47,CR,Herbivore,PRIMATES
Nomascus gabriellae,94852.8183033979,8500,EN,Herbivore,PRIMATES
Nomascus hainanus,164.971896073353,7790,CR,Herbivore,PRIMATES
Nomascus leucogenys,26500.9806034895,7320,CR,Herbivore,PRIMATES
Nomascus nasutus,8311.90179946411,7124.094,CR,Herbivore,PRIMATES
Nomascus siki,26549.048419323,5600,EN,Herbivore,PRIMATES
Notiomys edwardsii,267121.195709398,21.3,LC,Insectivore,RODENTIA
Notiosorex cockrumi,66204.0362641495,5.035,LC,Insectivore,EULIPOTYPHLA
Notiosorex crawfordi,2165720.11168005,4.79,LC,Insectivore,EULIPOTYPHLA
Notiosorex evotis,89137.1828835384,5.28,LC,Insectivore,EULIPOTYPHLA
Notiosorex villai,6041.06940989843,5.035,VU,Insectivore,EULIPOTYPHLA
Notomys alexis,2927727.84049717,32.34,LC,Herbivore,RODENTIA
Notomys aquilo,2283.39217701814,38.99,EN,Herbivore,RODENTIA
Notomys cervinus,83793.8653114895,34.79,NT,Herbivore,RODENTIA
Notomys fuscus,105460.257620039,39.28,VU,Herbivore,RODENTIA
Notomys mitchellii,646728.270437575,42.8,LC,Herbivore,RODENTIA
Notopteris macdonaldi,19271.2384460765,68.17,VU,Herbivore,CHIROPTERA
Notopteris neocaledonica,10800.5339058173,68.17,VU,Herbivore,CHIROPTERA
Notoryctes caurinus,451197.152125074,40,LC,Omnivore,NOTORYCTEMORPHIA
Notoryctes typhlops,921390.418638876,55,LC,Insectivore,NOTORYCTEMORPHIA
Nyctalus aviator,695997.66364404,28.97666667,NT,Insectivore,CHIROPTERA
Nyctalus azoreum,2237.33325814466,28.97666667,VU,Insectivore,CHIROPTERA
Nyctalus furvus,14423.3985344946,28.97666667,VU,Insectivore,CHIROPTERA
Nyctalus lasiopterus,2917518.39640384,45.98,VU,Insectivore,CHIROPTERA
Nyctalus leisleri,5171402.53804184,12.47,LC,Insectivore,CHIROPTERA
Nyctalus montanus,210275.728143038,28.97666667,LC,Insectivore,CHIROPTERA
Nyctalus noctula,7210075.74404434,28.48,LC,Carnivore,CHIROPTERA
Nyctalus plancyi,1916955.26516621,28.97666667,LC,Insectivore,CHIROPTERA
Nyctereutes procyonoides,6241893.3223803,4214.99,LC,Omnivore,CARNIVORA
Nycteris arge,3980019.71252141,10.79,LC,Insectivore,CHIROPTERA
Nycteris aurita,1789430.2402284,13.07636364,LC,Insectivore,CHIROPTERA
Nycteris gambiensis,1860729.11436775,7.13,LC,Insectivore,CHIROPTERA
Nycteris grandis,4404362.03017875,29.8,LC,Carnivore,CHIROPTERA
Nycteris hispida,11506141.1561831,7.98,LC,Insectivore,CHIROPTERA
Nycteris intermedia,2619651.29273532,13.07636364,LC,Insectivore,CHIROPTERA
